customer_id,loan_id,purpose,tenure,interest_rate,debt_to_income,vehicle_type,education,occupation,job_title,job_industry,income_type,criminal_record,marital_status,age,income_class,num_work_year,num_dependent,house_type,length_of_stay,residency_status,house_ownership,earning_members,vehicle_own,is_phone_number_owner,dpd_m1,col_m1,utilization_per_credit_account,utilization_per_credit_amount,latest_per_total_payment_m1,age_oldest_account,datetime
CUST1,LOAN1,CONSUMPTIVE,29,9.24,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,31,35,4,1,RUMAH,6,PERMANENT,,3,3,YES,0,1,0.69,,,,2025-02-03 11:12:32.630226
CUST2,LOAN2,PRODUCTIVE,32,9.41,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,32,33,5,1,RUMAH,7,PERMANENT,,2,3,YES,0,1,0.66,0.61,0.65,22,2025-02-03 11:12:32.630226
CUST3,LOAN3,PRODUCTIVE,37,9.67,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,33,7,1,RUMAH,7,PERMANENT,,2,2,YES,1,1,0.65,0.6,,20,2025-02-03 11:12:32.630226
CUST4,LOAN4,CONSUMPTIVE,37,9.8,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,33,33,7,1,RUMAH,7,PERMANENT,,2,2,YES,6,1,0.65,,,,2025-02-03 11:12:32.630226
CUST5,LOAN5,CONSUMPTIVE,42,9.9,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,34,32,8,1,RUMAH,7,PERMANENT,,2,2,YES,6,1,0.58,0.6,0.59,16,2025-02-03 11:12:32.630226
CUST6,LOAN6,CONSUMPTIVE,43,9.92,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,35,32,8,1,RUMAH,8,PERMANENT,,2,2,YES,7,1,0.58,0.59,0.58,14,2025-02-03 11:12:32.630226
CUST7,LOAN7,PRODUCTIVE,44,10.0,0.05,,BACHELOR'S DEGREE,PUBLIC SERVANT,EXECUTIVE,INDUSTRI BESAR & PADAT MODAL,INVESTMENT,NO,SINGLE,35,31,9,1,RUMAH,8,PERMANENT,,2,2,YES,7,1,0.56,0.58,0.55,11,2025-02-03 11:12:32.630226
CUST8,LOAN8,PRODUCTIVE,46,10.24,0.05,,JUNIOR HIGH SCHOOL,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,INVESTMENT,NO,SINGLE,35,31,9,1,RUMAH,8,PERMANENT,,2,2,YES,7,1,0.55,0.57,0.54,11,2025-02-03 11:12:32.630226
CUST9,LOAN9,CONSUMPTIVE,51,10.35,0.05,,JUNIOR HIGH SCHOOL,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,INVESTMENT,NO,SINGLE,37,30,9,1,RUMAH,8,PERMANENT,,2,2,YES,7,1,0.55,,,,2025-02-03 11:12:32.630226
CUST10,LOAN10,CONSUMPTIVE,51,10.39,0.05,,JUNIOR HIGH SCHOOL,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,INVESTMENT,NO,SINGLE,37,28,9,1,RUMAH,8,PERMANENT,,2,2,YES,8,1,0.54,0.54,0.53,9,2025-02-03 11:12:32.630226
CUST11,LOAN11,PRODUCTIVE,52,10.42,0.05,,MASTER'S DEGREE,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,BUSINESS TURNOVER/DIVIDEND,NO,SINGLE,37,28,9,1,APARTMENT,9,PERMANENT,,2,2,YES,8,1,0.53,,,,2025-02-03 11:12:32.630226
CUST12,LOAN12,CONSUMPTIVE,52,10.57,0.05,,MASTER'S DEGREE,PROFESSIONAL,MANAGER,INDUSTRI JASA & KEUANGAN,BUSINESS TURNOVER/DIVIDEND,NO,SINGLE,37,28,9,1,APARTMENT,9,PERMANENT,,2,2,YES,13,1,0.52,0.53,0.53,8,2025-02-03 11:12:32.630226
CUST13,LOAN13,PRODUCTIVE,53,10.59,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,37,28,10,1,APARTMENT,10,PERMANENT,,2,2,YES,17,1,0.51,,,,2025-02-03 11:12:32.630226
CUST14,LOAN14,PRODUCTIVE,53,10.65,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,37,27,10,2,APARTMENT,10,PERMANENT,,2,2,YES,17,1,0.51,0.52,0.51,7,2025-02-03 11:12:32.630226
CUST14,LOAN15,CONSUMPTIVE,53,10.72,0.05,,MASTER'S DEGREE,ENTREPRENEUR,OWNER,INDUSTRI TEKNOLOGI & KENDARAAN,BUSINESS TURNOVER/DIVIDEND,NO,MARRIED,37,27,10,2,APARTMENT,10,PERMANENT,,2,2,YES,18,1,0.5,,,,2025-02-03 11:12:32.630226
